document_id;document_number;document_type_id;document_name;document_description;document_date;file_path;original_filename;file_extension;file_size;is_minutes;minutes_number;document_status;signature_date;document_version;observations;is_confidential;is_active;created_at;created_by_user_id;updated_at;updated_by_user_id;project_id
;;3;2014_5844_acta de suspension_1.pdf;;8/02/2016;2014_5844_acta de suspension_1.pdf;2014_5844_acta de suspension_1.pdf;.pdf;;;;;;;SUSPENSION  14 DÍAS ;;1;;1055273127;;;5844
;;5;2014_5844_acta de reinicio_1.pdf;;8/02/2016;2014_5844_acta de reinicio_1.pdf;2014_5844_acta de reinicio_1.pdf;.pdf;;;;;;;;;1;;1055273127;;;5844
;;6;2013_5711_presupuesto_7.pdf;;8/02/2016;2013_5711_presupuesto_7.pdf;2013_5711_presupuesto_7.pdf;.pdf;;;;;;;VERSIÓN No 7;;1;;1055273127;;;5711
;;99;2013_5729_otras actas_1.pdf;;8/02/2016;2013_5729_otras actas_1.pdf;2013_5729_otras actas_1.pdf;.pdf;;;;;;;ADICIÓN No 1;;1;;1055273127;;;5729
;;4;2014_5954_minuta_1.pdf;;8/02/2016;2014_5954_minuta_1.pdf;2014_5954_minuta_1.pdf;.pdf;;;;;;;;;1;;1055273127;;;5954
;;99;2014_5954_otras actas_1.pdf;;8/02/2016;2014_5954_otras actas_1.pdf;2014_5954_otras actas_1.pdf;.pdf;;;;;;;PÓLIZA;;1;;1055273127;;;5954
;;99;2010_5325_otras actas_1.pdf;;9/02/2016;2010_5325_otras actas_1.pdf;2010_5325_otras actas_1.pdf;.pdf;;;;;;;CERTIFICACIÒN;;1;;1023889556;;;5325
;;21;2013_5670_propuesta_1.pdf;;9/02/2016;2013_5670_propuesta_1.pdf;2013_5670_propuesta_1.pdf;.pdf;;;;;;;;;1;;1023889556;;;5670
;;99;2013_5747_otras actas_1.pdf;;9/02/2016;2013_5747_otras actas_1.pdf;2013_5747_otras actas_1.pdf;.pdf;;;;;;;POLIZA;;1;;1023889556;;;5747
;;6;2013_5858_presupuesto_2.pdf;;9/02/2016;2013_5858_presupuesto_2.pdf;2013_5858_presupuesto_2.pdf;.pdf;;;;;;;;;1;;1023889556;;;5858
;;6;2013_5858_presupuesto_3.pdf;;9/02/2016;2013_5858_presupuesto_3.pdf;2013_5858_presupuesto_3.pdf;.pdf;;;;;;;SOLICITUD DE MODIFICACIÓN DE PRESUPUESTO ;;1;;1023889556;;;5858
;;99;2013_5719_otras actas_5.pdf;;9/02/2016;2013_5719_otras actas_5.pdf;2013_5719_otras actas_5.pdf;.pdf;;;;;;;CERTIFICACIÒN;;1;;1023889556;;;5719
;;99;2013_5705_otras actas_7.pdf;;9/02/2016;2013_5705_otras actas_7.pdf;2013_5705_otras actas_7.pdf;.pdf;;;;;;;ADICIÒN;;1;;1023889556;;;5705
;;99;2013_5743_otras actas_1.pdf;;9/02/2016;2013_5743_otras actas_1.pdf;2013_5743_otras actas_1.pdf;.pdf;;;;;;;ADICIÓN Y PRORROGA Nº 2;;1;;1023889556;;;5743
;;21;2015_5866_propuesta_1.pdf;;10/02/2016;2015_5866_propuesta_1.pdf;2015_5866_propuesta_1.pdf;.pdf;;;;;;;;;1;;1023889556;;;5866
;;6;2012_5548_presupuesto_8.pdf;;10/02/2016;2012_5548_presupuesto_8.pdf;2012_5548_presupuesto_8.pdf;.pdf;;;;;;;PRESUPUESTO VERSIÓN N 8;;1;;1023889556;;;5548
;;6;2012_5563_presupuesto_1.pdf;;10/02/2016;2012_5563_presupuesto_1.pdf;2012_5563_presupuesto_1.pdf;.pdf;;;;;;;PRESUPUESTO ;;1;;1023889556;;;5563
;;6;2013_5627_presupuesto_4.pdf;;10/02/2016;2013_5627_presupuesto_4.pdf;2013_5627_presupuesto_4.pdf;.pdf;;;;;;;VERSIÓN N 4;;1;;1023889556;;;5627
;;11;2010_5321_acta de liquidacion_1.pdf;;10/02/2016;2010_5321_acta de liquidacion_1.pdf;2010_5321_acta de liquidacion_1.pdf;.pdf;;;;;;;;;1;;1023889556;;;5321
;;99;2014_5704_otras actas_4.pdf;;10/02/2016;2014_5704_otras actas_4.pdf;2014_5704_otras actas_4.pdf;.pdf;;;;;;;CERTIFICACIÓN ;;1;;1023889556;;;5704
;;99;2010_5338_otras actas_2.pdf;;10/02/2016;2010_5338_otras actas_2.pdf;2010_5338_otras actas_2.pdf;.pdf;;;;;;;ACTA LIQUIDACIÓN, INFORMACIÓN GENERAL ;;1;;1023889556;;;5338
;;99;2013_5639_otras actas_4.pdf;;10/02/2016;2013_5639_otras actas_4.pdf;2013_5639_otras actas_4.pdf;.pdf;;;;;;;MODIFICACIÓN N 5;;1;;1023889556;;;5639
;;6;2014_5957_presupuesto_1.pdf;;10/02/2016;2014_5957_presupuesto_1.pdf;2014_5957_presupuesto_1.pdf;.pdf;;;;;;;;;1;;1023889556;;;5957
;;99;2013_5732_otras actas_1.pdf;;10/02/2016;2013_5732_otras actas_1.pdf;2013_5732_otras actas_1.pdf;.pdf;;;;;;;ADICIÓN Nº 001 DE 2014;;1;;1023889556;;;5732
